"","Oct_long","mil_time"
"128",0.0937564700857396,10
"129",0.0439472312330917,10
"130",0.0977828373977686,10
"131",0.0908068742764183,10
"132",0.102859590913095,10
"133",0.079006096249641,10
"134",0.103221418002377,10
"135",0.0761622589392232,10
"136",0.197829306582805,10
"137",0.116338052703409,10
"138",0.149532718721726,10
"139",0.103598164235314,10
"140",0.0866393990632002,10
"141",0.0892302378564611,11
"142",0.0424357312228658,11
"143",0.166581147653586,11
"144",0.114755595715809,11
"145",0.118712795659162,11
"146",0.0937608937933347,11
"147",0.0944220199506723,11
"148",0.0943595510588605,11
"149",0.0703272422036978,11
"150",0.190529945802425,11
"151",0.115152007215551,11
"152",0.114505477416199,11
"153",0.12911700634439,11
"154",0.0840827152717699,11
"155",0.102568616915816,12
"156",0.0323799638249918,12
"157",0.166206400104402,12
"158",0.0625861102995766,12
"159",0.0967244398381013,12
"160",0.0894727508657713,12
"161",0.057942085370885,12
"162",0.073041287186488,12
"163",0.0634464065352663,12
"164",0.166471950277781,12
"165",0.100332826163943,12
"166",0.109497011085951,12
"167",0.10541375834492,12
"168",0.0752860226717116,12
"169",0.112606330935583,13
"170",0.0746206585238121,13
"171",0.222395661558297,13
"172",0.133701524843817,13
"173",0.0916163681703035,13
"174",0.112924622689465,13
"175",0.0690753286263265,13
"176",0.11502382477626,13
"177",0.100862146285445,13
"178",0.216933807162102,13
"179",0.0839930523271661,13
"180",0.106824449586002,13
"181",0.105515488685939,13
"182",0.069574835296929,13
"183",0.0867024899359906,14
"184",0.0824591634873091,14
"185",0.0617458717281446,14
"186",0.126481581823977,14
"187",0.0943593024700544,14
"188",0.0783678438182613,14
"189",0.0498855739745542,14
"190",0.0849724864020478,14
"191",0.102578035571033,14
"192",0.0371108129550341,14
"193",0.188273089551303,14
"194",0.10605678171923,14
"195",0.0900936767686771,14
"196",0.0445708536776615,14
"197",0.072958177081712,15
"198",0.0643524179582055,15
"199",0.0976980352864652,15
"200",0.159633840753782,15
"201",0.0700943089740335,15
"202",0.0837774915291401,15
"203",0.0641401230532981,15
"204",0.0519780369095359,15
"205",0.0703831388693746,15
"206",0.090202626815415,15
"207",0.166573835481427,15
"208",0.100077180393417,15
"209",0.117105696395578,15
"210",0.0654164110674325,15
"211",0.041360743698262,16
"212",0.0463538180767966,16
"213",0.0806991711780896,16
"214",0.144639929706611,16
"215",0.0722278158656268,16
"216",0.0890848159334834,16
"217",0.0722585330589436,16
"218",0.053723807455287,16
"219",0.0789020998405272,16
"220",0.170031937640293,16
"221",0.0961553568745,16
"222",0.0860391949605955,16
"223",0.0873312956432492,16
"224",0.0732488201130694,16
"225",0.0582849003105014,17
"226",0.0191258498315375,17
"227",0.129601633786402,17
"228",0.175414694595992,17
"229",0.0766711530259578,17
"230",0.105533979366273,17
"231",0.0446130318923341,17
"232",0.0376856295057946,17
"233",0.100115039758701,17
"234",0.121189491965277,17
"235",0.156468652655804,17
"236",0.0779986957118727,17
"237",0.0868458162893346,17
"238",0.0705210555839722,17
"239",0.00723846455605093,18
"240",0.0581909649724321,18
"241",0.0597864703575832,18
"242",0.0888332697327493,18
