"","Aug_long","mil_time"
"205",0.267281528340752,15
"206",0.317177215411517,15
"207",0.263121890810881,15
"208",0.403490562536897,15
"209",0.543298581220328,15
"210",0.271570716004919,15
"211",0.301668933155001,16
"212",0.273081779122242,16
"213",0.363219473696348,16
"214",0.332278584209729,16
"215",0.194052045741831,16
"216",NA,16
"217",0.385745836488089,16
"218",0.29391094233767,16
"219",0.433175051253747,16
"220",0.319596545685633,16
"221",0.303272493853058,16
"222",0.210361585299325,16
"223",NA,16
"224",0.287119258052048,16
"225",0.301503999544905,17
"226",0.280594520543237,17
"227",0.270964726845992,17
"228",0.382167290728836,17
"229",0.446159093896869,17
"230",NA,17
"231",NA,17
"232",0.328782183382167,17
"233",0.2162889109145,17
"234",0.397087038875044,17
"235",0.351189905369949,17
"236",0.487518965735084,17
"237",NA,17
"238",NA,17
"239",0.464850899292251,18
"240",0.208700006083676,18
"241",0.327048700593966,18
"242",0.203764905851084,18
"243",0.24846125505677,18
"244",NA,18
"245",NA,18
"246",0.313949096688537,18
"247",0.382789747959861,18
"248",0.406275294711677,18
"249",0.473241677620818,18
"250",0.277200649012009,18
"251",NA,18
"252",NA,18
"253",0.354858755398607,19
"254",0.302504423711371,19
"255",0.325040468107342,19
"256",0.610977592239712,19
"257",0.385473468079999,19
"258",NA,19
"259",0.275531673338385,19
"260",0.289198925724046,19
"261",0.28780162454624,19
"262",0.304095791295192,19
"263",NA,19
"264",0.530893228747176,19
"265",NA,19
"266",0.382265691087933,19
"267",0.504778864368657,20
"268",0.364042162683691,20
"269",0.251734279348802,20
"270",NA,20
"271",-0.0665826564353009,20
"272",NA,20
"273",0.476477464500517,20
"274",0.28978274903433,20
"275",0.252375502343915,20
"276",0.230763620767385,20
"277",NA,20
"278",NA,20
"279",0.462612278557379,20
"280",0.265364520644425,20
"281",0.455842424528031,21
"282",0.273666708185369,21
"283",NA,21
"284",NA,21
"285",NA,21
"286",0.317523099535214,21
"287",0.228964299222497,21
"288",0.417128264509724,21
"289",0.353041270742601,21
"290",0.495330541819079,21
"291",NA,21
"292",NA,21
"293",0.258610437575237,21
"294",0.237898166155525,21
"295",0.289962167309525,22
"296",0.00494572185934494,22
"297",0.479835092932221,22
"298",NA,22
"299",NA,22
"300",0.358922798413083,22
"301",0.195644504796385,22
"302",0.397984715688012,22
"303",0.226444332584411,22
"304",NA,22
"305",NA,22
"306",NA,22
"307",0.307338988434261,22
"308",NA,22
"309",0.251483049870747,23
"310",0.155610718513067,23
"311",0.378588873967268,23
"312",NA,23
"313",NA,23
"314",0.522480324110287,23
"315",0.0689458104504554,23
"316",NA,23
"317",0.146727149051443,23
"318",NA,23
"319",0.519436351692367,23
"320",NA,23
"321",0.24052019282415,23
"322",0.248256892065178,23
"323",NA,24
"324",0.262499429104402,24
"325",0.55545206830268,24
"326",NA,24
"327",NA,24
"328",0.304853712107272,24
"329",NA,24
"330",NA,24
"331",NA,24
"332",0.28202663838629,24
"333",NA,24
"334",NA,24
"335",0.298564777149037,24
"336",0.24707448878421,24
