"","Jul_long_FC","mil_time"
"92",2.64095337974033,7
"93",-3.6351920778526,7
"94",68.660456565917,7
"95",2.70938158499528,7
"96",-26.4373582655414,7
"97",7.40024866252429,7
"98",-0.413459529035867,7
"99",-1.60280191211781,8
"100",0.0889470071027167,8
"101",0.0193507911976818,8
"102",-0.832230980875783,8
"103",-2.92384075451644,8
"104",-1.87129440894818,8
"105",-4.53390446131867,8
"106",-8.86826153100775,8
"107",-1.62137795235586,8
"108",75.3286164717327,8
"109",-4.01888224159148,8
"110",-4.53471238247509,8
"111",-2.1001473742933,8
"112",-6.05016166668302,8
"113",-8.62627550149685,9
"114",-2.22387440487873,9
"115",-3.14357216324462,9
"116",8.19012027676064,9
"117",-8.39780731057433,9
"118",-13.1416461709851,9
"119",-7.47249472166162,9
"120",-6.67033038159458,9
"121",-3.91661150164812,9
"122",4.34242234378154,9
"123",-7.26458625022266,9
"124",-8.65594164996091,9
"125",-4.67474495873119,9
"126",-6.68078022296971,9
"127",-7.77787770281821,10
"128",-6.64456667779522,10
"129",2.45109813064029,10
"130",-7.59388550356497,10
"131",NA,10
"132",-5.85379231644862,10
"133",-8.92345854314265,10
"134",-5.87312830680039,10
"135",-5.9962996402903,10
"136",-5.1188123658758,10
"137",-6.04961577282215,10
"138",NA,10
"139",-8.22707660614298,10
"140",-8.498947944644,10
"141",-9.59157207541267,11
"142",-5.74215592792485,11
"143",-9.68441059929366,11
"144",-14.3626380451297,11
"145",NA,11
"146",-4.87150733120219,11
"147",-7.46595481905743,11
"148",-4.43716402873659,11
"149",-1.70652307752056,11
"150",-3.74406370912945,11
"151",-5.59076044554314,11
"152",NA,11
"153",-4.08509784349306,11
"154",-11.7061786408038,11
"155",-5.31662050499948,12
"156",-3.78203947566307,12
"157",-5.54505585983699,12
"158",-7.77167915765084,12
"159",-8.0890578335855,12
"160",-3.66590933467433,12
"161",-8.99900007272111,12
"162",-4.43826025826231,12
"163",-6.25570172705642,12
"164",-6.65375046542921,12
"165",-6.76329342697824,12
"166",-8.65125295326613,12
"167",-2.00011649467858,12
"168",-8.68270535090937,12
"169",-4.91293013818579,13
"170",-2.65351249523631,13
"171",-9.02284514078053,13
"172",-5.84300701626945,13
"173",-7.03976345150182,13
"174",-5.6650219396701,13
"175",-9.37268210365019,13
"176",-5.41165582421604,13
"177",-3.2875948162094,13
"178",-6.1014787193267,13
"179",-4.23980586384272,13
"180",-10.7819936277611,13
"181",-5.06648254229248,13
"182",-9.44896144013429,13
"183",-6.59535528427137,14
"184",-6.96912449073247,14
"185",-6.73546615641178,14
"186",-4.96076962267751,14
"187",-12.0116701829674,14
"188",-5.09444848517296,14
"189",-9.43392020176301,14
"190",-14.6306178124404,14
"191",-2.60274556200846,14
"192",-4.29949516956512,14
"193",-5.87779510814848,14
"194",-8.36727636357883,14
"195",-7.58209579728066,14
"196",-8.80508490526824,14
"197",-4.86236893183036,15
"198",-3.18223522888914,15
"199",-3.85032950233324,15
"200",-4.61089526134072,15
"201",-7.67408343687535,15
"202",-6.02325227352627,15
"203",-9.64846924277142,15
"204",-5.06223891523243,15
"205",-3.51840900918017,15
"206",-5.47517123299527,15
"207",-6.99830630485509,15
"208",-8.93880764289924,15
"209",-7.78436809782934,15
"210",-9.40364015805838,15
"211",-6.9735470783971,16
"212",-3.16232801226096,16
"213",-5.6936149450217,16
"214",-8.23891980559935,16
"215",-8.12214158179405,16
"216",-2.57103971254887,16
"217",-8.40916607643943,16
"218",-5.06571366432171,16
"219",-6.0280281575392,16
"220",-5.1602182692605,16
"221",-6.09431945396926,16
"222",-7.20512898944758,16
"223",-6.09711023894144,16
"224",-8.04661500115027,16
"225",-5.55371621220287,17
"226",-4.87026897463859,17
"227",-4.87650533631596,17
"228",-7.17805714488689,17
"229",-7.65424563315984,17
"230",-3.8020150506724,17
"231",-10.4833720031724,17
"232",-6.53585210337515,17
"233",-1.68738761390652,17
"234",-3.14742591149518,17
"235",0.809702329252372,17
"236",-6.90345039121205,17
"237",-2.69657988076702,17
"238",-8.75000424003867,17
"239",-7.11047925366715,18
