"","Sep_long","mil_time"
"195",0.136333653182497,14
"196",0.319722430011735,14
"197",0.171811988283582,15
"198",0.373806771414849,15
"199",0.271232387630746,15
"200",0.197496122330362,15
"201",0.165033321701253,15
"202",0.17471717420469,15
"203",0.316004634447254,15
"204",0.413731807341734,15
"205",0.455204500684998,15
"206",0.16814629708848,15
"207",0.214288810228684,15
"208",0.148319539647356,15
"209",0.193330438308975,15
"210",0.330697833372183,15
"211",0.386903796747206,16
"212",0.397940514499802,16
"213",0.208501637548782,16
"214",NA,16
"215",0.193049839351892,16
"216",0.130168388535066,16
"217",0.252774474189608,16
"218",0.4461870994239,16
"219",0.433748188784514,16
"220",0.178761927148996,16
"221",0.222225763324417,16
"222",0.173042590930537,16
"223",0.178597259635548,16
"224",0.236916273334234,16
"225",0.547776454500641,17
"226",0.301690893992603,17
"227",0.252820096267738,17
"228",0.132006704522774,17
"229",0.121041401059927,17
"230",0.166795334423807,17
"231",0.240157220992445,17
"232",0.42840586133003,17
"233",0.354915656684654,17
"234",0.21721505154733,17
"235",0.199365788016856,17
"236",0.122235115214491,17
"237",0.132860485796661,17
"238",0.241602939141699,17
"239",0.534566436178378,18
"240",0.359797622065865,18
"241",0.198298828892915,18
"242",NA,18
"243",0.166209430257996,18
"244",0.187762378225967,18
"245",0.221703262396615,18
"246",0.384182735931976,18
"247",0.279689572180962,18
"248",0.189820872959671,18
"249",NA,18
"250",0.188228007569337,18
"251",0.236145007372227,18
"252",NA,18
"253",NA,19
"254",0.281687338030871,19
"255",NA,19
"256",NA,19
"257",0.227728073247988,19
"258",-0.482821193091607,19
"259",NA,19
"260",NA,19
"261",NA,19
"262",NA,19
"263",NA,19
"264",NA,19
"265",NA,19
"266",NA,19
"267",NA,20
"268",NA,20
"269",NA,20
"270",NA,20
"271",NA,20
"272",NA,20
"273",NA,20
"274",NA,20
"275",NA,20
"276",NA,20
"277",NA,20
"278",NA,20
"279",NA,20
"280",NA,20
